GEO,value
Belgium,35850
Bulgaria,2990
Czechia,17920
Denmark,50200
Germany,35290
Estonia,16260
Ireland,70920
Greece,17590
Spain,23510
France,32630
Croatia,13460
Italy,26700
Cyprus,24920
Latvia,12800
Lithuania,14690
Luxembourg,86550
Hungary,13660
Malta,22250
Netherlands,41970
Austria,36920
Poland,13580
Portugal,17920
Romania,9380
Slovenia,21260
Slovakia,15660
Finland,37400
Sweden,44840
Iceland,36760
Norway,70870
Switzerland,62600
United Kingdom,32910
Montenegro,5490
North Macedonia,4130
Albania,3810
Serbia,5890
Turkey,11600
